2026-04-30 12:47:50 INFO  - method=GET, uri=/swagger-ui/index.html, status=200, durationMs=14
2026-04-30 12:47:50 INFO  - method=GET, uri=/swagger-ui/index.css, status=200, durationMs=2
2026-04-30 12:47:50 INFO  - method=GET, uri=/swagger-ui/swagger-ui.css, status=200, durationMs=5
2026-04-30 12:47:50 INFO  - method=GET, uri=/swagger-ui/swagger-ui-standalone-preset.js, status=200, durationMs=5
2026-04-30 12:47:50 INFO  - method=GET, uri=/swagger-ui/swagger-ui-bundle.js, status=200, durationMs=11
2026-04-30 12:47:50 INFO  - method=GET, uri=/swagger-ui/swagger-initializer.js, status=200, durationMs=18
2026-04-30 12:47:50 INFO  - method=GET, uri=/swagger-ui/favicon-32x32.png, status=200, durationMs=1
2026-04-30 12:47:50 INFO  - method=GET, uri=/v3/api-docs/swagger-config, status=200, durationMs=12
2026-04-30 12:47:50 INFO  - method=GET, uri=/v3/api-docs, status=200, durationMs=313
2026-04-30 12:58:11 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=224
2026-04-30 12:59:25 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=111
2026-04-30 12:59:53 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=111
2026-04-30 13:57:45 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=134
2026-04-30 13:57:45 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=144
2026-04-30 13:59:25 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=114
2026-04-30 14:04:40 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=120
2026-04-30 14:08:29 INFO  - method=POST, uri=/api/auth/register, status=201, durationMs=113
2026-04-30 14:08:37 INFO  - method=POST, uri=/api/auth/login, status=200, durationMs=110
2026-04-30 14:13:08 INFO  - method=GET, uri=/swagger-ui/index.html, status=200, durationMs=3
2026-04-30 14:13:08 INFO  - method=GET, uri=/swagger-ui/index.css, status=200, durationMs=2
2026-04-30 14:13:08 INFO  - method=GET, uri=/swagger-ui/swagger-initializer.js, status=200, durationMs=3
2026-04-30 14:13:08 INFO  - method=GET, uri=/swagger-ui/swagger-ui.css, status=200, durationMs=4
2026-04-30 14:13:08 INFO  - method=GET, uri=/swagger-ui/swagger-ui-standalone-preset.js, status=200, durationMs=5
2026-04-30 14:13:08 INFO  - method=GET, uri=/swagger-ui/swagger-ui-bundle.js, status=200, durationMs=8
2026-04-30 14:13:08 INFO  - method=GET, uri=/v3/api-docs/swagger-config, status=200, durationMs=3
2026-04-30 14:13:08 INFO  - method=GET, uri=/swagger-ui/favicon-32x32.png, status=200, durationMs=2
2026-04-30 14:13:08 INFO  - method=GET, uri=/v3/api-docs, status=200, durationMs=6
