2026-04-30 12:57:37 ERROR - method=POST, uri=/api/auth/register, status=422, durationMs=68
2026-04-30 12:59:14 ERROR - method=POST, uri=/api/auth/register, status=409, durationMs=16
2026-04-30 12:59:20 ERROR - method=POST, uri=/api/auth/register, status=409, durationMs=3
2026-04-30 13:57:45 ERROR - method=POST, uri=/api/customers, status=422, durationMs=9
2026-04-30 13:59:04 ERROR - method=POST, uri=/api/auth/register, status=409, durationMs=20
2026-04-30 13:59:44 ERROR - method=POST, uri=/api/customers, status=500, durationMs=50
2026-04-30 13:59:50 ERROR - method=POST, uri=/api/customers, status=500, durationMs=7
2026-04-30 13:59:56 ERROR - method=POST, uri=/api/customers, status=500, durationMs=8
2026-04-30 14:00:01 ERROR - method=POST, uri=/api/customers, status=500, durationMs=6
2026-04-30 14:07:31 ERROR - method=POST, uri=/api/auth/login, status=401, durationMs=21
2026-04-30 14:07:58 ERROR - method=POST, uri=/api/auth/login, status=401, durationMs=9
2026-04-30 14:09:46 ERROR - method=POST, uri=/api/customer, status=500, durationMs=8
2026-04-30 14:11:32 ERROR - method=POST, uri=/api/customers, status=500, durationMs=14
