GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
banking,com.fdm.banking.dto.request,RecategoriseRequest,10,0,0,0,3,0,3,0,3,0
banking,com.fdm.banking.dto.request,CreateStandingOrderRequest,52,0,0,0,15,0,15,0,15,0
banking,com.fdm.banking.dto.request,NotificationEventRequest,45,0,0,0,13,0,13,0,13,0
banking,com.fdm.banking.security,OwnershipValidator,42,0,4,0,11,0,5,0,3,0
banking,com.fdm.banking.security,ServiceApiKeyFilter,84,0,6,0,25,0,7,0,4,0
banking,com.fdm.banking.security,JwtAuthenticationToken,2,19,0,0,1,5,1,2,1,2
banking,com.fdm.banking.security,UserPrincipal,19,36,1,3,5,10,6,5,5,4
banking,com.fdm.banking.security,JwtAuthenticationFilter,109,0,8,0,30,0,6,0,2,0
banking,com.fdm.banking.security,ServiceAuthentication,19,0,0,0,6,0,3,0,3,0
banking,com.fdm.banking.util,CanadianHolidayService,266,0,58,0,38,0,34,0,5,0
banking,com.fdm.banking.util,CategoryResolver,64,0,12,0,14,0,9,0,3,0
banking,com.fdm.banking.util,Mod97Validator,117,0,20,0,21,0,13,0,3,0
banking,com.fdm.banking,BankingApplication,5,3,0,0,2,1,1,1,1,1
banking,com.fdm.banking.entity,CustomerEntity,39,17,0,0,12,5,11,5,11,5
banking,com.fdm.banking.entity,RoleEntity,24,0,0,0,7,0,7,0,7,0
banking,com.fdm.banking.entity,TransactionStatus,0,21,0,0,0,4,0,1,0,1
banking,com.fdm.banking.entity,Frequency,27,0,0,0,5,0,1,0,1,0
banking,com.fdm.banking.entity,IdempotencyRecordEntity,35,0,0,0,11,0,10,0,10,0
banking,com.fdm.banking.entity,StandingOrderEntity,105,0,0,0,32,0,29,0,29,0
banking,com.fdm.banking.entity,ExportCacheEntity,24,18,0,0,8,5,7,5,7,5
banking,com.fdm.banking.entity,AuditLogEntity,63,0,0,0,19,0,18,0,18,0
banking,com.fdm.banking.entity,StandingOrderStatus,39,0,0,0,7,0,1,0,1,0
banking,com.fdm.banking.entity,NotificationPreferenceEntity,45,0,0,0,14,0,12,0,12,0
banking,com.fdm.banking.entity,AccountStatus,0,21,0,0,0,4,0,1,0,1
banking,com.fdm.banking.entity,UserEntity,52,0,0,0,16,0,14,0,14,0
banking,com.fdm.banking.entity,AccountEntity,34,44,2,0,10,12,8,11,7,11
banking,com.fdm.banking.entity,TransactionEntity,28,45,2,0,9,13,8,13,7,13
banking,com.fdm.banking.entity,NotificationDecisionEntity,80,0,0,0,24,0,22,0,22,0
banking,com.fdm.banking.entity,TransactionType,0,21,0,0,0,4,0,1,0,1
banking,com.fdm.banking.entity,NotificationDecision,21,0,0,0,4,0,1,0,1,0
banking,com.fdm.banking.dto.response,SpendingInsightResponse,73,0,0,0,21,0,21,0,21,0
banking,com.fdm.banking.dto.response,ErrorResponse,52,0,0,0,18,0,11,0,11,0
banking,com.fdm.banking.dto.response,CancelStandingOrderResponse,36,0,0,0,12,0,8,0,8,0
banking,com.fdm.banking.dto.response,RecategoriseResponse,38,0,0,0,11,0,11,0,11,0
banking,com.fdm.banking.dto.response,StandingOrderListResponse,24,0,0,0,7,0,7,0,7,0
banking,com.fdm.banking.dto.response,TransactionItemResponse,59,0,0,0,17,0,17,0,17,0
banking,com.fdm.banking.dto.response,TransactionHistoryResponse,38,0,0,0,11,0,11,0,11,0
banking,com.fdm.banking.dto.response,SpendingInsightResponse.MonthTrendItem,38,0,0,0,11,0,11,0,11,0
banking,com.fdm.banking.dto.response,NotificationDecisionResponse,52,0,0,0,15,0,15,0,15,0
banking,com.fdm.banking.dto.response,StandingOrderResponse,87,0,0,0,25,0,25,0,25,0
banking,com.fdm.banking.dto.response,SpendingInsightResponse.CategoryBreakdownItem,31,0,0,0,9,0,9,0,9,0
banking,com.fdm.banking.dto.response,SpendingInsightResponse.PeriodInfo,24,0,0,0,7,0,7,0,7,0
banking,com.fdm.banking.config,SchedulerConfig,20,0,0,0,7,0,2,0,2,0
banking,com.fdm.banking.config,SecurityConfig,107,0,0,0,18,0,11,0,11,0
banking,com.fdm.banking.config,NotificationsProperties,10,0,0,0,4,0,3,0,3,0
banking,com.fdm.banking.config,BankingCategoriesProperties,10,0,0,0,4,0,3,0,3,0
banking,com.fdm.banking.config,CorsConfig,33,0,0,0,9,0,2,0,2,0
banking,com.fdm.banking.scheduler,IdempotencyPurgeJob,34,0,0,0,10,0,3,0,3,0
banking,com.fdm.banking.scheduler,StandingOrderExecutionJob,393,0,26,0,105,0,22,0,8,0
banking,com.fdm.banking.service,MonthlyStatementService,57,246,17,7,11,56,11,9,1,7
banking,com.fdm.banking.service,AuditService,34,0,0,0,12,0,2,0,2,0
banking,com.fdm.banking.service,TransactionHistoryService,382,0,34,0,89,0,24,0,7,0
banking,com.fdm.banking.service,StandingOrderService,361,0,22,0,76,0,18,0,7,0
banking,com.fdm.banking.service,SpendingInsightService,657,0,34,0,145,0,27,0,10,0
banking,com.fdm.banking.service,PdfStatementService,574,329,23,5,83,40,20,5,8,3
banking,com.fdm.banking.service,NotificationEvaluationService,268,0,16,0,71,0,13,0,5,0
banking,com.fdm.banking.exception,SemanticValidationException,6,10,0,0,2,4,2,1,2,1
banking,com.fdm.banking.exception,PermissionDeniedException,3,8,0,0,1,3,1,1,1,1
banking,com.fdm.banking.exception,LockException,10,0,0,0,4,0,2,0,2,0
banking,com.fdm.banking.exception,RetentionWindowException,10,0,0,0,4,0,2,0,2,0
banking,com.fdm.banking.exception,BusinessStateException,12,10,0,0,4,4,3,1,3,1
banking,com.fdm.banking.exception,OwnershipException,4,0,0,0,1,0,1,0,1,0
banking,com.fdm.banking.exception,GlobalExceptionHandler,143,3,12,0,24,1,14,1,8,1
banking,com.fdm.banking.exception,ResourceNotFoundException,3,7,0,0,1,3,1,1,1,1
banking,com.fdm.banking.controller,NotificationController,12,0,0,0,4,0,2,0,2,0
banking,com.fdm.banking.controller,StandingOrderController,58,0,2,0,13,0,6,0,5,0
banking,com.fdm.banking.controller,StatementController,5,46,1,1,1,13,1,3,0,3
banking,com.fdm.banking.controller,InsightController,47,0,2,0,11,0,5,0,4,0
banking,com.fdm.banking.controller,TransactionController,94,0,8,0,22,0,9,0,5,0
banking,com.fdm.banking.mapper,NotificationDecisionMapper,38,0,0,0,10,0,2,0,2,0
banking,com.fdm.banking.mapper,StandingOrderMapper,55,0,0,0,14,0,2,0,2,0
