2026-04-16 09:36:49 ERROR - method=POST, uri=/api/auth/login, status=401, durationMs=154
2026-04-16 09:37:21 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=1
2026-04-16 09:38:02 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=9
2026-04-16 09:38:14 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=4
2026-04-16 09:38:14 ERROR - method=GET, uri=/customers/33/accounts, status=500, durationMs=30
2026-04-16 09:38:16 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=6
2026-04-16 09:38:22 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=7
2026-04-16 09:38:39 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-16 09:38:39 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=1
2026-04-16 09:38:59 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-16 09:38:59 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-16 09:39:11 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=8
2026-04-16 09:39:12 ERROR - method=GET, uri=/customers/33/accounts, status=500, durationMs=26
2026-04-16 09:39:13 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=11
2026-04-16 09:39:15 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=11
2026-04-16 09:39:19 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=15
2026-04-16 09:39:19 ERROR - method=GET, uri=/customers/33/accounts, status=500, durationMs=39
2026-04-16 09:39:21 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=8
2026-04-16 09:39:21 ERROR - method=GET, uri=/customers/33/accounts, status=500, durationMs=22
2026-04-16 09:39:25 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=9
2026-04-16 09:40:59 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=1
2026-04-16 09:41:15 ERROR - method=GET, uri=/api/customers/33, status=403, durationMs=11
2026-04-16 09:46:38 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-16 09:46:38 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-16 09:46:56 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-16 09:46:56 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-16 09:52:39 ERROR - method=GET, uri=/h2-console/stylesheet.css, status=304, durationMs=0
2026-04-16 09:52:39 ERROR - method=GET, uri=/h2-console/table.js, status=304, durationMs=0
2026-04-16 09:52:39 ERROR - method=GET, uri=/h2-console/tree.js, status=304, durationMs=0
